patent_id,Cluster
788639,0
311434,0
1258702,0
1118025,0
1151343,0
424279,0
1033346,0
721700,0
914055,0
858549,0
756141,0
76164,0
781909,0
1014109,0
1131223,0
297298,0
611715,0
1170744,0
506307,0
346725,0
1302418,0
159871,0
1122539,0
1237035,0
1354138,0
599950,0
545522,0
555763,0
1025065,0
606383,0
697735,0
1332604,0
392390,0
942539,0
797047,0
1222910,0
1337808,0
985487,0
1172298,0
713347,0
204731,0
1044870,0
568771,0
555396,0
384582,0
1276698,0
983790,0
659514,0
470790,0
1236304,0
865810,0
574949,0
204987,0
1213221,0
1107354,0
1330327,0
480922,0
817668,0
1003033,0
808326,0
561719,0
452572,0
1245577,0
814361,0
595584,0
1348231,0
559302,0
1374571,0
661672,0
1088913,0
861035,0
996511,0
748082,0
366131,0
850350,0
1032753,0
232560,0
1143814,0
1293148,0
396684,0
153809,0
742652,0
98586,0
506461,0
303864,0
1031992,0
895694,0
315462,0
199252,0
868902,0
680643,0
121706,0
255005,0
659650,0
1235622,0
617259,0
659888,0
139642,0
1059009,0
129155,0
127377,0
1363019,0
323715,0
527493,0
1127146,0
934072,0
882912,0
419661,0
640821,0
1039125,0
251878,0
158259,0
992448,0
907813,0
127499,0
72555,0
692856,0
656991,0
193818,0
383276,0
1129396,0
1300275,0
483987,0
337953,0
297430,0
472135,0
1080747,0
375373,0
766733,0
1180081,0
202768,0
512036,0
1218871,0
369813,0
456901,0
1365118,0
573203,0
194109,0
1080081,0
766069,0
1235951,0
486984,0
651276,0
237525,0
848969,0
695234,0
729068,0
870538,0
353231,0
822518,0
519052,0
803423,0
1326087,0
1208201,0
1301438,0
895742,0
1357167,0
244804,0
914914,0
1298879,0
649777,0
416293,0
775379,0
797779,0
140544,0
684394,0
917548,0
535929,0
394087,0
213117,0
1340617,0
999086,0
988873,0
1350404,0
456779,0
1181280,0
1196146,0
665618,0
1009423,0
155594,0
736532,0
674390,0
1263375,0
970538,0
674572,0
383383,0
1198993,0
1354110,0
536696,0
1159833,0
1259346,0
469924,0
979652,0
692284,0
1330482,0
282260,0
884387,0
133519,0
396567,0
537381,0
611236,0
863291,0
421359,0
312372,0
622824,0
1010432,0
209856,0
377455,0
292323,0
859711,0
925105,0
1234141,0
870286,0
389797,0
712111,0
1087457,0
792626,0
265863,0
851419,0
277758,0
46213,0
928169,0
898359,0
470953,0
889240,0
824021,0
274771,0
440360,0
1334631,0
1089037,0
272634,0
426758,0
160253,0
909003,0
385983,0
1112882,0
1093733,0
336710,0
525174,0
1244976,0
656310,0
1196566,0
1220310,0
722978,0
726575,0
1004986,0
1238448,0
1145361,0
958169,0
775903,0
302687,0
663983,0
1176688,0
909326,0
612105,0
554629,0
675854,0
430648,0
1364012,0
1196228,0
778850,0
1297141,0
538214,0
1045070,0
789574,0
1362000,0
857008,0
707939,0
917855,0
245067,0
507265,0
457638,0
1249167,0
815928,0
205975,0
677684,0
760252,0
298842,0
1264293,0
941713,0
1008067,0
115196,0
662287,0
413704,0
1094866,0
1092159,0
117799,0
420480,0
1334826,0
560168,0
1125263,0
1005023,0
1370916,0
1053487,0
1151300,0
737160,0
1234832,0
101430,0
1297155,0
266030,0
965217,0
872019,0
428302,0
329535,0
831586,0
512364,0
1078458,0
694813,0
1072449,0
230133,0
1257371,0
691467,0
1088101,0
339611,0
791467,0
843894,0
932398,0
1131272,0
733424,0
561190,0
726277,0
338065,0
384822,0
321166,0
476151,0
493474,0
411791,0
502655,0
804529,0
446092,0
359654,0
601733,0
307025,0
1013891,0
890408,0
569703,0
182675,0
1166683,0
590938,0
438558,0
1282538,0
173763,0
766653,0
689209,0
1214291,0
945890,0
850251,0
518321,0
992886,0
974672,0
389677,0
476623,0
742097,0
222029,0
716609,0
105348,0
316912,0
647851,0
610909,0
1195581,0
276993,0
102341,0
518453,0
981622,0
1331005,0
468729,0
1100506,0
540908,0
1192526,0
707252,0
346953,0
427994,0
448903,0
329618,0
230064,0
562132,0
1045256,0
1227553,0
924938,0
1144346,0
752049,0
400495,0
646226,0
708421,0
659306,0
473537,0
298488,0
1331775,0
817642,0
1158462,0
688553,0
422169,0
335640,0
798740,0
1236338,0
534724,0
1209058,0
397350,0
1300956,0
249589,0
278665,0
993673,0
1130107,0
338067,0
713015,0
116336,0
743622,0
349619,0
540387,0
954549,0
1174570,0
1013986,0
35520,0
615034,0
539644,0
655054,0
261106,0
1192072,0
1194143,0
1148289,0
721352,0
963236,0
525408,0
1099062,0
1244014,0
328699,0
1021127,0
1031320,0
627593,0
1057426,0
434117,0
49000,0
305079,0
759812,0
1118243,0
821758,0
268341,0
698537,0
927808,0
88611,0
1278224,0
628999,0
974046,0
450579,0
701114,0
1350014,0
1031446,0
838605,0
20532,0
35503,0
655136,0
336024,0
1203872,0
1181060,0
1308082,0
540583,0
606462,0
1175093,0
320023,0
486576,0
692365,0
321755,0
880436,0
485808,0
123329,0
1107692,0
201130,0
417916,0
1111501,0
769432,0
934995,0
936939,0
884050,0
903454,0
1144484,0
583709,0
718696,0
20920,0
1228310,0
136148,0
411818,0
